"cod6","ano","agente","casos","populacao","fonte_populacao","populacao_unica","incid_100k","incid_100k_pop2024","incid_eb_100k","incid_pad_100k"
"330070",2025,"vsr",34,238438,"Estimativa da população residente, 1º de julho de 2025",238166,14.2594720640166,14.2757572449468,14.6719761145714,12.9127115016466
"330080",2022,"influenza",2,56943,"Censo 2022, população residente (data de referência 01/08/2022)",59837,3.5122842140386,3.34241355682939,3.27681556478373,3.621274635509
"330080",2023,"influenza",1,58324,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",59837,1.71456004389274,1.67120677841469,2.55606821229629,1.55057547957343
"330080",2024,"influenza",8,59837,"Estimativa da população residente, 1º de julho de 2024",59837,13.3696542273175,13.3696542273175,12.254556944029,12.7680924514711
"330080",2025,"influenza",5,59861,"Estimativa da população residente, 1º de julho de 2025",59837,8.35268371727836,8.35603389207347,9.50734612561737,8.47917321441379
"330080",2022,"sarscov2",30,56943,"Censo 2022, população residente (data de referência 01/08/2022)",59837,52.684263210579,50.1362033524408,55.0583645557087,53.0853679589925
"330080",2023,"sarscov2",7,58324,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",59837,12.0019203072492,11.6984474489029,13.0611295002997,12.0978595593372
"330080",2024,"sarscov2",4,59837,"Estimativa da população residente, 1º de julho de 2024",59837,6.68482711365877,6.68482711365877,7.97555520270431,6.92970831939543
"330080",2025,"sarscov2",2,59861,"Estimativa da população residente, 1º de julho de 2025",59837,3.34107348691134,3.34241355682939,4.71281921958988,3.40327048930139
"330080",2022,"vsr",0,56943,"Censo 2022, população residente (data de referência 01/08/2022)",59837,0,0,2.41875550956538,0
"330080",2023,"vsr",9,58324,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",59837,15.4310403950346,15.0408610057322,13.3635701434212,14.1680476730738
"330080",2024,"vsr",14,59837,"Estimativa da população residente, 1º de julho de 2024",59837,23.3968948978057,23.3968948978057,19.1074181349341,21.366646620612
"330080",2025,"vsr",15,59861,"Estimativa da população residente, 1º de julho de 2025",59837,25.0580511518351,25.0681016762204,24.5300247542133,23.1261463039013
"330090",2022,"influenza",0,14616,"Censo 2022, população residente (data de referência 01/08/2022)",15070,0,0,1.21731153761132,0
"330090",2023,"influenza",0,14833,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",15070,0,0,2.78909203107511,0
"330090",2024,"influenza",10,15070,"Estimativa da população residente, 1º de julho de 2024",15070,66.35700066357,66.35700066357,28.870224244974,66.9506515499718
"330090",2025,"influenza",12,15069,"Estimativa da população residente, 1º de julho de 2025",15070,79.6336850487756,79.628400796284,53.2610338508577,72.5426821087874
"330090",2022,"sarscov2",66,14616,"Censo 2022, população residente (data de referência 01/08/2022)",15070,451.559934318555,437.956204379562,396.042937244987,379.393618578249
"330090",2023,"sarscov2",13,14833,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",15070,87.6424189307625,86.264100862641,70.7265989058608,73.9558132955145
"330090",2024,"sarscov2",21,15070,"Estimativa da população residente, 1º de julho de 2024",15070,139.349701393497,139.349701393497,77.0703045333519,120.255469484502
"330090",2025,"sarscov2",2,15069,"Estimativa da população residente, 1º de julho de 2025",15070,13.2722808414626,13.271400132714,7.90766771479614,9.84028440846611
"330090",2022,"vsr",0,14616,"Censo 2022, população residente (data de referência 01/08/2022)",15070,0,0,4.80287916305972,0
"330090",2023,"vsr",0,14833,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",15070,0,0,2.82624624176225,0
"330090",2024,"vsr",0,15070,"Estimativa da população residente, 1º de julho de 2024",15070,0,0,8.28793815839451,0
"330090",2025,"vsr",0,15069,"Estimativa da população residente, 1º de julho de 2025",15070,0,0,10.327765204718,0
"330093",2022,"influenza",0,13847,"Censo 2022, população residente (data de referência 01/08/2022)",14325,0,0,1.24959514510022,0
"330093",2023,"influenza",1,14075,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",14325,7.10479573712256,6.98080279232112,4.95437633026359,8.36451821781326
"330093",2024,"influenza",8,14325,"Estimativa da população residente, 1º de julho de 2024",14325,55.8464223385689,55.8464223385689,24.8418712053965,54.4272161999068
"330093",2025,"influenza",12,14329,"Estimativa da população residente, 1º de julho de 2025",14325,83.7462488659362,83.7696335078534,54.8380893968659,85.3270802673836
"330093",2022,"sarscov2",12,13847,"Censo 2022, população residente (data de referência 01/08/2022)",14325,86.6613706940131,83.7696335078534,89.5160468985266,89.8761424516409
"330093",2023,"sarscov2",2,14075,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",14325,14.2095914742451,13.9616055846422,17.058668242593,15.2351399829469
"330093",2024,"sarscov2",0,14325,"Estimativa da população residente, 1º de julho de 2024",14325,0,0,6.70028036443056,0
"330093",2025,"sarscov2",1,14329,"Estimativa da população residente, 1º de julho de 2025",14325,6.97885407216135,6.98080279232112,6.46663785058714,6.90927590893419
"330093",2022,"vsr",0,13847,"Censo 2022, população residente (data de referência 01/08/2022)",14325,0,0,4.89045718206627,0
"330093",2023,"vsr",0,14075,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",14325,0,0,2.89887419741286,0
"330093",2024,"vsr",1,14325,"Estimativa da população residente, 1º de julho de 2024",14325,6.98080279232112,6.98080279232112,10.4289064605051,7.26814504027149
"330093",2025,"vsr",0,14329,"Estimativa da população residente, 1º de julho de 2025",14325,0,0,10.6055484369372,0
"330095",2022,"influenza",0,8741,"Censo 2022, população residente (data de referência 01/08/2022)",9044,0,0,1.51666469029675,0
"330095",2023,"influenza",2,8886,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",9044,22.5073148773351,22.1141088014153,7.94952044331913,20.7787420642017
"330095",2024,"influenza",1,9044,"Estimativa da população residente, 1º de julho de 2024",9044,11.0570544007077,11.0570544007077,10.2674043616865,10.2136622337532
"330095",2025,"influenza",2,9048,"Estimativa da população residente, 1º de julho de 2025",9044,22.10433244916,22.1141088014153,18.7965934992285,21.2780306974591
"330095",2022,"sarscov2",1,8741,"Censo 2022, população residente (data de referência 01/08/2022)",9044,11.4403386340236,11.0570544007077,33.692256051845,12.0165070220423
"330095",2023,"sarscov2",0,8886,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",9044,0,0,9.26730293383815,0
"330095",2024,"sarscov2",0,9044,"Estimativa da população residente, 1º de julho de 2024",9044,0,0,8.19043443250662,0
"330095",2025,"sarscov2",0,9048,"Estimativa da população residente, 1º de julho de 2025",9044,0,0,5.37011271327032,0
"330095",2022,"vsr",0,8741,"Censo 2022, população residente (data de referência 01/08/2022)",9044,0,0,5.56412324357615,0
"330095",2023,"vsr",0,8886,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",9044,0,0,3.51769770366314,0
"330095",2024,"vsr",0,9044,"Estimativa da população residente, 1º de julho de 2024",9044,0,0,9.41504697131958,0
"330095",2025,"vsr",0,9048,"Estimativa da população residente, 1º de julho de 2025",9044,0,0,13.124837877168,0
"330100",2022,"influenza",8,483540,"Censo 2022, população residente (data de referência 01/08/2022)",519011,1.6544649873847,1.54139314966349,1.67686280356814,1.68691103056552
