"agente","ano","faixa","casos","populacao_faixa","taxa_100k","proporcao"
"vsr",2023,"40-49",4,2484674.04828756,0.160986911050035,0.00434310532030402
"vsr",2023,"50-59",1,2144679.18051597,0.0466270204459865,0.001085776330076
"vsr",2023,"60-69",5,1736376.40595201,0.287955997493448,0.00542888165038002
"vsr",2023,"70-79",9,945062.512375682,0.952317955917642,0.00977198697068404
"vsr",2023,"80+",9,449339.335203289,2.00294060521727,0.00977198697068404
"vsr",2024,"<1",1553,165623.36555334,937.669630617331,0.762395679921453
"vsr",2024,"1-4",366,773156.981753096,47.3383812909654,0.179675994108984
"vsr",2024,"5-9",42,1089020.74580684,3.85667584035627,0.0206185567010309
"vsr",2024,"10-19",11,2119281.90104396,0.51904373809739,0.00540009818360334
"vsr",2024,"20-29",2,2477721.03430607,0.0807193373389645,0.000981836033382425
"vsr",2024,"30-39",2,2549929.73137314,0.0784335338889122,0.000981836033382425
"vsr",2024,"40-49",3,2575856.63228935,0.116466109269975,0.00147275405007364
"vsr",2024,"50-59",4,2223088.09987663,0.179929891227521,0.00196367206676485
"vsr",2024,"60-69",18,1800065.67943219,0.999963512757926,0.00883652430044183
"vsr",2024,"70-79",22,979880.931706743,2.24517074351888,0.0108001963672067
"vsr",2024,"80+",14,466053.896858633,3.00394441380384,0.00687285223367698
"vsr",2025,"<1",2808,165663.487430801,1695.00234695525,0.736621196222455
"vsr",2025,"1-4",797,773341.060524006,103.059315053046,0.209076600209864
"vsr",2025,"5-9",65,1089278.50465178,5.96725261009161,0.0170514165792235
"vsr",2025,"10-19",20,2119784.18686264,0.943492272654453,0.00524658971668416
"vsr",2025,"20-29",4,2478265.14015789,0.161403230638396,0.00104931794333683
"vsr",2025,"30-39",14,2550503.71975529,0.548911177488627,0.00367261280167891
"vsr",2025,"40-49",8,2576442.40100616,0.310505680114402,0.00209863588667366
"vsr",2025,"50-59",11,2223578.90608548,0.494697983053143,0.00288562434417629
"vsr",2025,"60-69",26,1800458.78919025,1.44407637409426,0.0068205666316894
"vsr",2025,"70-79",29,980085.512267038,2.95892548527935,0.00760755508919203
"vsr",2025,"80+",30,466145.292068675,6.43576166282084,0.00786988457502623
